sad_id,rank,neighbor,similarity
02_Sportsmans-Park_Glendale-AZ,1,17_The-Boxyard_Seattle-WA,0.7286
02_Sportsmans-Park_Glendale-AZ,2,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.6415
02_Sportsmans-Park_Glendale-AZ,3,23_Power-and-Light-District_Kansas-City-MO,0.5668
02_Sportsmans-Park_Glendale-AZ,4,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.5514
02_Sportsmans-Park_Glendale-AZ,5,11_Thrive-City_San-Francisco-CA,0.5157
03_Titletown_Green-Bay-WI,1,36_Downtown-Commons_Sacramento-CA,0.6121
03_Titletown_Green-Bay-WI,2,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.3764
03_Titletown_Green-Bay-WI,3,21_Hub-on-Causeway_Boston-MA,0.3713
03_Titletown_Green-Bay-WI,4,26_LECOM-Harborcenter_Buffalo-NY,0.2837
03_Titletown_Green-Bay-WI,5,31_Patriot-Place_Foxborough-MA,0.2715
04_Hollywood-Park_Inglewood-CA,1,37_Galaxy-Park_Carson-CA,0.7485
04_Hollywood-Park_Inglewood-CA,2,13_Gallagher-Way_Chicago-IL,0.6794
04_Hollywood-Park_Inglewood-CA,3,25_Viking-Lakes_Eagan-MN,0.5619
04_Hollywood-Park_Inglewood-CA,4,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.377
04_Hollywood-Park_Inglewood-CA,5,20_Astor-Park_Columbus-OH,0.3532
05_Downtown-East_Minneapolis-MN,1,32_District-Detroit_Detroit-MI,0.834
05_Downtown-East_Minneapolis-MN,2,16_Mission-Rock_San-Francisco-CA,0.769
05_Downtown-East_Minneapolis-MN,3,34_Aquilini-Centre_Vancouver-BC,0.7351
05_Downtown-East_Minneapolis-MN,4,09_Maple-Leaf-Square_Toronto-ON,0.7168
05_Downtown-East_Minneapolis-MN,5,06_Victory-Park_Dallas-TX,0.694
06_Victory-Park_Dallas-TX,1,16_Mission-Rock_San-Francisco-CA,0.8509
06_Victory-Park_Dallas-TX,2,09_Maple-Leaf-Square_Toronto-ON,0.8317
06_Victory-Park_Dallas-TX,3,12_The-Battery_Atlanta-GA,0.808
06_Victory-Park_Dallas-TX,4,07_LA-Live_Los-Angeles-CA,0.7969
06_Victory-Park_Dallas-TX,5,27_Treasure-Island-Center_St-Paul-MN,0.7667
07_LA-Live_Los-Angeles-CA,1,06_Victory-Park_Dallas-TX,0.7969
07_LA-Live_Los-Angeles-CA,2,29_Parmer-Pond-District_Austin-TX,0.765
07_LA-Live_Los-Angeles-CA,3,16_Mission-Rock_San-Francisco-CA,0.6966
07_LA-Live_Los-Angeles-CA,4,09_Maple-Leaf-Square_Toronto-ON,0.638
07_LA-Live_Los-Angeles-CA,5,12_The-Battery_Atlanta-GA,0.5921
08_Water-Street_Tampa-FL,1,20_Astor-Park_Columbus-OH,0.6264
08_Water-Street_Tampa-FL,2,33_ICE-District_Edmonton-AB,0.581
08_Water-Street_Tampa-FL,3,29_Parmer-Pond-District_Austin-TX,0.4944
08_Water-Street_Tampa-FL,4,27_Treasure-Island-Center_St-Paul-MN,0.4497
08_Water-Street_Tampa-FL,5,15_Gallagher-Square_San-Diego-CA,0.4035
09_Maple-Leaf-Square_Toronto-ON,1,34_Aquilini-Centre_Vancouver-BC,0.8963
09_Maple-Leaf-Square_Toronto-ON,2,16_Mission-Rock_San-Francisco-CA,0.8638
09_Maple-Leaf-Square_Toronto-ON,3,06_Victory-Park_Dallas-TX,0.8317
09_Maple-Leaf-Square_Toronto-ON,4,05_Downtown-East_Minneapolis-MN,0.7168
09_Maple-Leaf-Square_Toronto-ON,5,32_District-Detroit_Detroit-MI,0.674
10_Pacific-Yards_Brooklyn-NY,1,21_Hub-on-Causeway_Boston-MA,0.6342
10_Pacific-Yards_Brooklyn-NY,2,18_Ballpark-Village_St-Louis-MO,0.4554
10_Pacific-Yards_Brooklyn-NY,3,14_McGregor-Square_Denver-CO,0.2642
10_Pacific-Yards_Brooklyn-NY,4,11_Thrive-City_San-Francisco-CA,0.225
10_Pacific-Yards_Brooklyn-NY,5,36_Downtown-Commons_Sacramento-CA,0.175
11_Thrive-City_San-Francisco-CA,1,12_The-Battery_Atlanta-GA,0.6291
11_Thrive-City_San-Francisco-CA,2,16_Mission-Rock_San-Francisco-CA,0.5591
11_Thrive-City_San-Francisco-CA,3,09_Maple-Leaf-Square_Toronto-ON,0.5458
11_Thrive-City_San-Francisco-CA,4,34_Aquilini-Centre_Vancouver-BC,0.5238
11_Thrive-City_San-Francisco-CA,5,02_Sportsmans-Park_Glendale-AZ,0.5157
12_The-Battery_Atlanta-GA,1,16_Mission-Rock_San-Francisco-CA,0.8141
12_The-Battery_Atlanta-GA,2,06_Victory-Park_Dallas-TX,0.808
12_The-Battery_Atlanta-GA,3,27_Treasure-Island-Center_St-Paul-MN,0.7768
12_The-Battery_Atlanta-GA,4,32_District-Detroit_Detroit-MI,0.7545
12_The-Battery_Atlanta-GA,5,24_The-Star_Frisco-TX,0.7342
13_Gallagher-Way_Chicago-IL,1,04_Hollywood-Park_Inglewood-CA,0.6794
13_Gallagher-Way_Chicago-IL,2,20_Astor-Park_Columbus-OH,0.6484
13_Gallagher-Way_Chicago-IL,3,37_Galaxy-Park_Carson-CA,0.4424
13_Gallagher-Way_Chicago-IL,4,33_ICE-District_Edmonton-AB,0.3487
13_Gallagher-Way_Chicago-IL,5,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.3075
14_McGregor-Square_Denver-CO,1,21_Hub-on-Causeway_Boston-MA,0.4286
14_McGregor-Square_Denver-CO,2,07_LA-Live_Los-Angeles-CA,0.3962
14_McGregor-Square_Denver-CO,3,16_Mission-Rock_San-Francisco-CA,0.3237
14_McGregor-Square_Denver-CO,4,10_Pacific-Yards_Brooklyn-NY,0.2642
14_McGregor-Square_Denver-CO,5,29_Parmer-Pond-District_Austin-TX,0.1683
15_Gallagher-Square_San-Diego-CA,1,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.6312
15_Gallagher-Square_San-Diego-CA,2,19_Arlington-Entertainment-District_Arlington-TX,0.6278
15_Gallagher-Square_San-Diego-CA,3,33_ICE-District_Edmonton-AB,0.6166
15_Gallagher-Square_San-Diego-CA,4,17_The-Boxyard_Seattle-WA,0.5925
15_Gallagher-Square_San-Diego-CA,5,23_Power-and-Light-District_Kansas-City-MO,0.5437
16_Mission-Rock_San-Francisco-CA,1,09_Maple-Leaf-Square_Toronto-ON,0.8638
16_Mission-Rock_San-Francisco-CA,2,06_Victory-Park_Dallas-TX,0.8509
16_Mission-Rock_San-Francisco-CA,3,12_The-Battery_Atlanta-GA,0.8141
16_Mission-Rock_San-Francisco-CA,4,05_Downtown-East_Minneapolis-MN,0.769
16_Mission-Rock_San-Francisco-CA,5,32_District-Detroit_Detroit-MI,0.7605
17_The-Boxyard_Seattle-WA,1,23_Power-and-Light-District_Kansas-City-MO,0.7832
17_The-Boxyard_Seattle-WA,2,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.7527
17_The-Boxyard_Seattle-WA,3,02_Sportsmans-Park_Glendale-AZ,0.7286
17_The-Boxyard_Seattle-WA,4,19_Arlington-Entertainment-District_Arlington-TX,0.6308
17_The-Boxyard_Seattle-WA,5,15_Gallagher-Square_San-Diego-CA,0.5925
18_Ballpark-Village_St-Louis-MO,1,05_Downtown-East_Minneapolis-MN,0.5109
18_Ballpark-Village_St-Louis-MO,2,36_Downtown-Commons_Sacramento-CA,0.4945
18_Ballpark-Village_St-Louis-MO,3,34_Aquilini-Centre_Vancouver-BC,0.4809
18_Ballpark-Village_St-Louis-MO,4,09_Maple-Leaf-Square_Toronto-ON,0.4618
18_Ballpark-Village_St-Louis-MO,5,10_Pacific-Yards_Brooklyn-NY,0.4554
19_Arlington-Entertainment-District_Arlington-TX,1,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.7425
19_Arlington-Entertainment-District_Arlington-TX,2,23_Power-and-Light-District_Kansas-City-MO,0.7167
19_Arlington-Entertainment-District_Arlington-TX,3,24_The-Star_Frisco-TX,0.6876
19_Arlington-Entertainment-District_Arlington-TX,4,27_Treasure-Island-Center_St-Paul-MN,0.6715
19_Arlington-Entertainment-District_Arlington-TX,5,17_The-Boxyard_Seattle-WA,0.6308
20_Astor-Park_Columbus-OH,1,33_ICE-District_Edmonton-AB,0.7342
20_Astor-Park_Columbus-OH,2,13_Gallagher-Way_Chicago-IL,0.6484
20_Astor-Park_Columbus-OH,3,08_Water-Street_Tampa-FL,0.6264
20_Astor-Park_Columbus-OH,4,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.5093
20_Astor-Park_Columbus-OH,5,17_The-Boxyard_Seattle-WA,0.3877
21_Hub-on-Causeway_Boston-MA,1,10_Pacific-Yards_Brooklyn-NY,0.6342
21_Hub-on-Causeway_Boston-MA,2,36_Downtown-Commons_Sacramento-CA,0.5016
21_Hub-on-Causeway_Boston-MA,3,26_LECOM-Harborcenter_Buffalo-NY,0.4611
21_Hub-on-Causeway_Boston-MA,4,14_McGregor-Square_Denver-CO,0.4286
21_Hub-on-Causeway_Boston-MA,5,03_Titletown_Green-Bay-WI,0.3713
22_True-North-Square_Winnipeg-MB,1,27_Treasure-Island-Center_St-Paul-MN,0.5846
22_True-North-Square_Winnipeg-MB,2,36_Downtown-Commons_Sacramento-CA,0.5706
22_True-North-Square_Winnipeg-MB,3,33_ICE-District_Edmonton-AB,0.5409
22_True-North-Square_Winnipeg-MB,4,05_Downtown-East_Minneapolis-MN,0.5294
22_True-North-Square_Winnipeg-MB,5,32_District-Detroit_Detroit-MI,0.5285
23_Power-and-Light-District_Kansas-City-MO,1,17_The-Boxyard_Seattle-WA,0.7832
23_Power-and-Light-District_Kansas-City-MO,2,19_Arlington-Entertainment-District_Arlington-TX,0.7167
23_Power-and-Light-District_Kansas-City-MO,3,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.6025
23_Power-and-Light-District_Kansas-City-MO,4,28_The-Rock-at-La-Cantera_San-Antonio-TX,0.5891
23_Power-and-Light-District_Kansas-City-MO,5,24_The-Star_Frisco-TX,0.5878
24_The-Star_Frisco-TX,1,12_The-Battery_Atlanta-GA,0.7342
24_The-Star_Frisco-TX,2,19_Arlington-Entertainment-District_Arlington-TX,0.6876
24_The-Star_Frisco-TX,3,32_District-Detroit_Detroit-MI,0.6714
24_The-Star_Frisco-TX,4,27_Treasure-Island-Center_St-Paul-MN,0.6513
24_The-Star_Frisco-TX,5,05_Downtown-East_Minneapolis-MN,0.6428
25_Viking-Lakes_Eagan-MN,1,31_Patriot-Place_Foxborough-MA,0.6649
25_Viking-Lakes_Eagan-MN,2,04_Hollywood-Park_Inglewood-CA,0.5619
25_Viking-Lakes_Eagan-MN,3,37_Galaxy-Park_Carson-CA,0.5445
25_Viking-Lakes_Eagan-MN,4,24_The-Star_Frisco-TX,0.4807
25_Viking-Lakes_Eagan-MN,5,26_LECOM-Harborcenter_Buffalo-NY,0.3439
26_LECOM-Harborcenter_Buffalo-NY,1,31_Patriot-Place_Foxborough-MA,0.4926
26_LECOM-Harborcenter_Buffalo-NY,2,21_Hub-on-Causeway_Boston-MA,0.4611
26_LECOM-Harborcenter_Buffalo-NY,3,29_Parmer-Pond-District_Austin-TX,0.4574
26_LECOM-Harborcenter_Buffalo-NY,4,25_Viking-Lakes_Eagan-MN,0.3439
26_LECOM-Harborcenter_Buffalo-NY,5,32_District-Detroit_Detroit-MI,0.2998
27_Treasure-Island-Center_St-Paul-MN,1,12_The-Battery_Atlanta-GA,0.7768
27_Treasure-Island-Center_St-Paul-MN,2,06_Victory-Park_Dallas-TX,0.7667
27_Treasure-Island-Center_St-Paul-MN,3,32_District-Detroit_Detroit-MI,0.7034
27_Treasure-Island-Center_St-Paul-MN,4,19_Arlington-Entertainment-District_Arlington-TX,0.6715
27_Treasure-Island-Center_St-Paul-MN,5,16_Mission-Rock_San-Francisco-CA,0.6654
28_The-Rock-at-La-Cantera_San-Antonio-TX,1,19_Arlington-Entertainment-District_Arlington-TX,0.7425
28_The-Rock-at-La-Cantera_San-Antonio-TX,2,23_Power-and-Light-District_Kansas-City-MO,0.5891
28_The-Rock-at-La-Cantera_San-Antonio-TX,3,02_Sportsmans-Park_Glendale-AZ,0.5514
28_The-Rock-at-La-Cantera_San-Antonio-TX,4,15_Gallagher-Square_San-Diego-CA,0.443
28_The-Rock-at-La-Cantera_San-Antonio-TX,5,24_The-Star_Frisco-TX,0.4132
29_Parmer-Pond-District_Austin-TX,1,07_LA-Live_Los-Angeles-CA,0.765
29_Parmer-Pond-District_Austin-TX,2,06_Victory-Park_Dallas-TX,0.751
29_Parmer-Pond-District_Austin-TX,3,12_The-Battery_Atlanta-GA,0.7222
29_Parmer-Pond-District_Austin-TX,4,16_Mission-Rock_San-Francisco-CA,0.7185
29_Parmer-Pond-District_Austin-TX,5,27_Treasure-Island-Center_St-Paul-MN,0.6226
30_WSFS-Bank-Sportsplex_Chester-PA,1,32_District-Detroit_Detroit-MI,0.5022
30_WSFS-Bank-Sportsplex_Chester-PA,2,11_Thrive-City_San-Francisco-CA,0.4318
30_WSFS-Bank-Sportsplex_Chester-PA,3,12_The-Battery_Atlanta-GA,0.4282
30_WSFS-Bank-Sportsplex_Chester-PA,4,16_Mission-Rock_San-Francisco-CA,0.3876
30_WSFS-Bank-Sportsplex_Chester-PA,5,02_Sportsmans-Park_Glendale-AZ,0.3513
31_Patriot-Place_Foxborough-MA,1,25_Viking-Lakes_Eagan-MN,0.6649
31_Patriot-Place_Foxborough-MA,2,26_LECOM-Harborcenter_Buffalo-NY,0.4926
31_Patriot-Place_Foxborough-MA,3,21_Hub-on-Causeway_Boston-MA,0.3356
31_Patriot-Place_Foxborough-MA,4,04_Hollywood-Park_Inglewood-CA,0.2837
31_Patriot-Place_Foxborough-MA,5,03_Titletown_Green-Bay-WI,0.2715
32_District-Detroit_Detroit-MI,1,05_Downtown-East_Minneapolis-MN,0.834
32_District-Detroit_Detroit-MI,2,16_Mission-Rock_San-Francisco-CA,0.7605
32_District-Detroit_Detroit-MI,3,12_The-Battery_Atlanta-GA,0.7545
32_District-Detroit_Detroit-MI,4,06_Victory-Park_Dallas-TX,0.7073
32_District-Detroit_Detroit-MI,5,27_Treasure-Island-Center_St-Paul-MN,0.7034
33_ICE-District_Edmonton-AB,1,20_Astor-Park_Columbus-OH,0.7342
33_ICE-District_Edmonton-AB,2,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.7076
33_ICE-District_Edmonton-AB,3,15_Gallagher-Square_San-Diego-CA,0.6166
33_ICE-District_Edmonton-AB,4,08_Water-Street_Tampa-FL,0.581
33_ICE-District_Edmonton-AB,5,22_True-North-Square_Winnipeg-MB,0.5409
34_Aquilini-Centre_Vancouver-BC,1,09_Maple-Leaf-Square_Toronto-ON,0.8963
34_Aquilini-Centre_Vancouver-BC,2,05_Downtown-East_Minneapolis-MN,0.7351
34_Aquilini-Centre_Vancouver-BC,3,16_Mission-Rock_San-Francisco-CA,0.7174
34_Aquilini-Centre_Vancouver-BC,4,06_Victory-Park_Dallas-TX,0.7056
34_Aquilini-Centre_Vancouver-BC,5,32_District-Detroit_Detroit-MI,0.5902
35_Deer-District_Milwaukee-WI,1,10_Pacific-Yards_Brooklyn-NY,-0.0199
35_Deer-District_Milwaukee-WI,2,09_Maple-Leaf-Square_Toronto-ON,-0.0339
35_Deer-District_Milwaukee-WI,3,02_Sportsmans-Park_Glendale-AZ,-0.049
35_Deer-District_Milwaukee-WI,4,18_Ballpark-Village_St-Louis-MO,-0.0548
35_Deer-District_Milwaukee-WI,5,17_The-Boxyard_Seattle-WA,-0.055
36_Downtown-Commons_Sacramento-CA,1,03_Titletown_Green-Bay-WI,0.6121
36_Downtown-Commons_Sacramento-CA,2,22_True-North-Square_Winnipeg-MB,0.5706
36_Downtown-Commons_Sacramento-CA,3,21_Hub-on-Causeway_Boston-MA,0.5016
36_Downtown-Commons_Sacramento-CA,4,18_Ballpark-Village_St-Louis-MO,0.4945
36_Downtown-Commons_Sacramento-CA,5,07_LA-Live_Los-Angeles-CA,0.4233
37_Galaxy-Park_Carson-CA,1,04_Hollywood-Park_Inglewood-CA,0.7485
37_Galaxy-Park_Carson-CA,2,25_Viking-Lakes_Eagan-MN,0.5445
37_Galaxy-Park_Carson-CA,3,13_Gallagher-Way_Chicago-IL,0.4424
37_Galaxy-Park_Carson-CA,4,38_Bicentennial-Unity-Plaza_Indianapolis-IN,0.3543
37_Galaxy-Park_Carson-CA,5,33_ICE-District_Edmonton-AB,0.2942
38_Bicentennial-Unity-Plaza_Indianapolis-IN,1,17_The-Boxyard_Seattle-WA,0.7527
38_Bicentennial-Unity-Plaza_Indianapolis-IN,2,33_ICE-District_Edmonton-AB,0.7076
38_Bicentennial-Unity-Plaza_Indianapolis-IN,3,02_Sportsmans-Park_Glendale-AZ,0.6415
38_Bicentennial-Unity-Plaza_Indianapolis-IN,4,15_Gallagher-Square_San-Diego-CA,0.6312
38_Bicentennial-Unity-Plaza_Indianapolis-IN,5,23_Power-and-Light-District_Kansas-City-MO,0.6025
